Date: 20240912 19:28:00 Europe/Helsinki, O: 221.82, H: 221.92, L: 221.81, C 221.92
Date: 20240912 19:29:00 Europe/Helsinki, O: 221.92, H: 221.98, L: 221.88, C 221.94
Date: 20240912 19:30:00 Europe/Helsinki, O: 221.94, H: 221.98, L: 221.86, C 221.87
Date: 20240912 19:31:00 Europe/Helsinki, O: 221.87, H: 221.89, L: 221.76, C 221.8
Date: 20240912 19:32:00 Europe/Helsinki, O: 221.8, H: 221.87, L: 221.77, C 221.79
Date: 20240912 19:33:00 Europe/Helsinki, O: 221.79, H: 221.93, L: 221.77, C 221.91
Date: 20240912 19:34:00 Europe/Helsinki, O: 221.91, H: 221.93, L: 221.88, C 221.91
Date: 20240912 19:35:00 Europe/Helsinki, O: 221.91, H: 221.96, L: 221.89, C 221.9
Date: 20240912 19:36:00 Europe/Helsinki, O: 221.9, H: 221.91, L: 221.76, C 221.87
Date: 20240912 19:37:00 Europe/Helsinki, O: 221.87, H: 221.9, L: 221.78, C 221.89
Date: 20240912 19:38:00 Europe/Helsinki, O: 221.89, H: 221.91, L: 221.85, C 221.87
Date: 20240912 19:39:00 Europe/Helsinki, O: 221.87, H: 221.87, L: 221.71, C 221.75
Date: 20240912 19:40:00 Europe/Helsinki, O: 221.75, H: 221.8, L: 221.71, C 221.75
Date: 20240912 19:41:00 Europe/Helsinki, O: 221.75, H: 221.88, L: 221.74, C 221.88
Date: 20240912 19:42:00 Europe/Helsinki, O: 221.88, H: 221.99, L: 221.88, C 221.93
Date: 20240912 19:43:00 Europe/Helsinki, O: 221.93, H: 221.95, L: 221.84, C 221.84
Date: 20240912 19:44:00 Europe/Helsinki, O: 221.84, H: 221.89, L: 221.79, C 221.88
Date: 20240912 19:45:00 Europe/Helsinki, O: 221.88, H: 221.91, L: 221.81, C 221.9
Date: 20240912 19:46:00 Europe/Helsinki, O: 221.9, H: 221.9, L: 221.83, C 221.85
Date: 20240912 19:47:00 Europe/Helsinki, O: 221.85, H: 221.88, L: 221.81, C 221.87
Date: 20240912 19:48:00 Europe/Helsinki, O: 221.87, H: 221.93, L: 221.85, C 221.92
Date: 20240912 19:49:00 Europe/Helsinki, O: 221.92, H: 221.92, L: 221.87, C 221.91
Date: 20240912 19:50:00 Europe/Helsinki, O: 221.91, H: 222.01, L: 221.9, C 221.97
Date: 20240912 19:51:00 Europe/Helsinki, O: 221.97, H: 222.06, L: 221.94, C 222.0
Date: 20240912 19:52:00 Europe/Helsinki, O: 222.0, H: 222.06, L: 221.93, C 222.04
Date: 20240912 19:53:00 Europe/Helsinki, O: 222.04, H: 222.25, L: 222.03, C 222.21
